PartnerId,Pod,Account Name
0b12lzs,Dentsu,Axa Life Insurance Japan
m8kqm0z,Dentsu,Axa Life Insurance Japan_DentsuDigital
3dj6uob,Dentsu,Carta Communications StoreSalesAds
v2excxq,Dentsu,carta communications_Dentsu_PremiumView
xr7668x,Dentsu,carta communications_Premiumview_TCCC
ubuypyz,Dentsu,carta communications_TELECY
t7vjzxe,Dentsu,carta_fluct
zjeirq2,Dentsu,cyber communications
1a9fetl,Dentsu,cyber communications_DataCurrent Inc.
arqrk6c,Dentsu,Cyber communications_NextAge_TCCC
uyfz3lw,Dentsu,D2C Inc.
irycwpx,Dentsu,D2CR Inc
gelf1jj,Dentsu,Lenovo Japan Limited-Dentsu Digital Inc.-Japan-JPY
ly5yqi3,Dentsu,Lenovo Japan Limited-Forward3D Japan KK-Japan-JPY
0hx0yng,Dentsu,Motorola Mobility Japan Inc-Dentsu Digital Inc.-Japan-JPY
i4pwk0h,Dentsu,NEXTAGE Dentsu
2f9kebg,Dentsu,Otonal Inc.
u1b3yi2,Dentsu,OTONAL marketing
6olv1a7,Dentsu,StandArrow
g31ofe4,Dentsu,Synario
gxguzja,Dentsu,TCCC - JSK - Japan - JPY
12otvni,Digital,CyberAgent JP
q44lbim,Digital,CyberAgent JP- AMoAd
htocuxo,Digital,CyberZ JP
i2nh69n,Digital,DataOne
xy8dnk2,Digital,Mixi
grz6q65,Digital,Septeni -JP
i6amlnl,Global,Adobe-JP-Publicis-USD
16x6pls,Global,Allergan JP
dcw4243,Global,Beacon communications Japan_JPY
lh8bzhj,Global,Beacon communications Japan_JPY_billingSG
1sp4go7,Global,"DataTailor, Inc."
l73s3tn,Global,Dell Technologies - Japan
gq8jr5m,Global,GroupM - Eightbar - IBM
yzefh98,Global,"GroupM �"" Mediacom �"" Multiple �"" JP �"" JPY"
vudow7h,Global,GroupM - Mindshare - Multiple - JP - JPY
d3bkdgd,Global,"GroupM - Wavemaker - Multiple - JP �"" JPY"
ouhi2cw,Global,Inodit.
ob858r3,Global,Matterkind JP
f6v2uqn,Global,Nestlé Nespresso - JP
h5ojh7m,Global,Publicis_Mars_AMEA_JP
eoc2e1l,Global,Rakuten JP_DSP
z5up86q,Global,"Rimowa Japan Co., Ltd."
pz42ley,Global,Thirteen
gsr34r5,Global,Uber TTD Delivery APAC
qt453v0,Global,Uber TTD Mobility APAC
k7f2acd,Global,Unlock Media Inc.
j6qm98m,Global,Unlock Media Inc. - Microsoft
74hei20,Global,WPP_Hitachi_JP_JPY
cplcit5,Global,WPP_IBM_JP_JPY
vyyt3wc,Hakuhodo,AdInte
z4krsrk,Hakuhodo,Catalina Marketing Japan
frdw47m,Hakuhodo,D.A.C Consortium_Meitens
0beozbt,Hakuhodo,D.A.Consortium
82ceysz,Hakuhodo,D.A.Consortium_Global
v5qko2s,Hakuhodo,D.A.Consortium_HDYMP
uknk93a,Hakuhodo,D.A.Consortium_Irep
h1l3xwl,Hakuhodo,Geo Technology_Japan
rejbj2l,Hakuhodo,Intimate Merger
w6cpd8h,Hakuhodo,Linkshare Japan
hpsk9nw,Hakuhodo,Opt
