year,month,PartnerCostInUSD,PartnerCostInAdvertiserCurrency
2025,1,308000,45870000
2025,2,388000,57420000
2025,3,468000,70620000
2025,4,358000,51645000
2025,5,353000,51645000
2025,6,373000,54120000
2025,7,568000,87120000
2025,8,573000,87120000
2025,9,618000,95370000
2025,10,733000,113520000
2025,11,868000,136620000
2025,12,922606,144804990
2026,1,294750,45686318
2026,2,310513,48129530
2026,3,496503,76957915
2026,4,503879,78101174
2026,5,565085,87588119
2026,6,458380,71048863
2026,7,452311,70108148
2026,8,649024,100598711
2026,9,527900,81824551
2026,10,591103,91621002
2026,11,620429,96166437
2026,12,795322,123274858
